task_id,dataset,method,prompt,llm,run,subrun,problematic_put,final_tests,mutation_score,mutation_types,total_mutants,survived_total,survived_types,killed_total,killed_types,timeout_total,timeout_types,raw_tests_generated,refined_tests,duplicate_tests_removed,syntax_errored,fixed_by_model,fixed_by_ommiting,ibf_assertion_errored,ibf_repaired,ibf_unrepaired
task_0,humaneval,mutap,zero_shot,deepseek-coder,5,0,0,"assert has_close_elements([1, 3], 0.5) == False
assert has_close_elements([1, 3], 2) == False
assert has_close_elements([-1, -1], 0.5) == True",100.0,"{""AOR"": 1, ""COI"": 2, ""ROR"": 3}",6,0,{},6,"{""AOR"": 1, ""COI"": 2, ""ROR"": 3}",0,{},16,16,3,0,0,0,5,6,0
task_1,humaneval,mutap,zero_shot,deepseek-coder,1,0,0,assert separate_paren_groups('(()())') == ['(()())'],100.0,"{""ASR"": 2, ""COI"": 3, ""ROR"": 3}",8,0,{},8,"{""ASR"": 2, ""COI"": 3, ""ROR"": 3}",0,{},3,3,0,0,0,0,0,0,0
task_10,humaneval,mutap,zero_shot,deepseek-coder,11,0,0,assert make_palindrome('abc') == 'abcba',93.33333333333333,"{""AOD"": 2, ""AOR"": 3, ""ASR"": 1, ""COD"": 2, ""COI"": 2, ""ROR"": 1, ""SIR"": 4}",15,1,"{""ASR"": 1}",9,"{""AOD"": 2, ""AOR"": 2, ""COD"": 1, ""COI"": 1, ""SIR"": 3}",5,"{""AOR"": 1, ""COD"": 1, ""COI"": 1, ""ROR"": 1, ""SIR"": 1}",45,45,39,0,0,0,4,4,0
task_100,humaneval,mutap,zero_shot,deepseek-coder,1,0,0,"assert make_a_pile(2) == [2, 4]",100.0,"{""AOR"": 4}",4,0,{},4,"{""AOR"": 4}",0,{},4,4,0,0,0,0,1,3,0
task_101,humaneval,mutap,zero_shot,deepseek-coder,1,0,0,"assert words_string('a,b,c') == ['a', 'b', 'c']",100.0,"{""COD"": 1, ""COI"": 2, ""ROR"": 1}",4,0,{},4,"{""COD"": 1, ""COI"": 2, ""ROR"": 1}",0,{},4,4,0,0,0,0,0,0,0
task_102,humaneval,mutap,zero_shot,deepseek-coder,11,0,0,"assert choose_num(7, 9) == 8
assert choose_num(5, 6) == 6
assert choose_num(6, 6) == 6
assert choose_num(4, 3) == -1",84.61538461538461,"{""AOD"": 2, ""AOR"": 4, ""COI"": 3, ""ROR"": 4}",13,2,"{""AOD"": 1, ""AOR"": 1}",11,"{""AOD"": 1, ""AOR"": 3, ""COI"": 3, ""ROR"": 4}",0,{},43,43,18,0,0,0,11,34,0
task_103,humaneval,mutap,zero_shot,deepseek-coder,3,0,0,"assert rounded_avg(2, 5) == '0b100'
assert rounded_avg(-1, -6) == -1
assert rounded_avg(0, 0) == '0b0'",100.0,"{""AOD"": 1, ""AOR"": 6, ""ASR"": 1, ""COI"": 1, ""ROR"": 2}",11,0,{},11,"{""AOD"": 1, ""AOR"": 6, ""ASR"": 1, ""COI"": 1, ""ROR"": 2}",0,{},11,11,1,0,0,0,3,10,0
task_104,humaneval,mutap,zero_shot,deepseek-coder,1,0,0,"assert unique_digits([2, 3, 5]) == [3, 5]",100.0,"{""AOR"": 1, ""COI"": 1, ""ROR"": 1}",3,0,{},3,"{""AOR"": 1, ""COI"": 1, ""ROR"": 1}",0,{},3,3,0,0,0,0,1,2,0
task_105,humaneval,mutap,zero_shot,deepseek-coder,1,0,0,"assert by_length([10, 20, 30, 40, 50, 60, 70, 80, 90]) == []",100.0,"{""EHD"": 1}",1,0,{},1,"{""EHD"": 1}",0,{},2,2,0,0,0,0,0,0,0
task_106,humaneval,mutap,zero_shot,deepseek-coder,1,0,0,"assert f(5) == [1, 2, 6, 24, 15]",100.0,"{""AOR"": 4, ""ASR"": 6, ""COI"": 1, ""ROR"": 1}",12,0,{},10,"{""AOR"": 4, ""ASR"": 4, ""COI"": 1, ""ROR"": 1}",2,"{""ASR"": 2}",2,2,0,0,0,0,1,2,0
