task_id,dataset,method,prompt,llm,run,subrun,problematic_put,final_tests,mutation_score,mutation_types,total_mutants,survived_total,survived_types,killed_total,killed_types,timeout_total,timeout_types,raw_tests_generated,refined_tests,duplicate_tests_removed,syntax_errored,fixed_by_model,fixed_by_ommiting,ibf_assertion_errored,ibf_repaired,ibf_unrepaired
question_1,refactory,mutap,few_shot,deepseek-coder,1,0,0,"assert search(20, [15, 20, 30]) == 1",100.0,"{""COI"": 1, ""ROR"": 2}",3,0,{},3,"{""COI"": 1, ""ROR"": 2}",0,{},3,3,0,0,0,0,1,1,0
question_2,refactory,mutap,few_shot,deepseek-coder,11,0,0,"assert contains_unique_day('March', [['January', '1'], ['February', '2'], ['March', '3']]) == True
assert contains_unique_day(2, [[1, 3], [4, 5]]) == False
assert unique_month(1, [[1, 3], [4, 5]]) == True",81.81818181818183,"{""ASR"": 2, ""COI"": 3, ""LCR"": 1, ""ROR"": 5}",11,2,"{""COI"": 1, ""ROR"": 1}",9,"{""ASR"": 2, ""COI"": 2, ""LCR"": 1, ""ROR"": 4}",0,{},37,37,8,0,0,0,7,9,0
question_3,refactory,mutap,few_shot,deepseek-coder,1,0,0,"assert remove_extras([1, 2, 3]) == [1, 2, 3]",100.0,"{""COD"": 1, ""COI"": 1}",2,0,{},2,"{""COD"": 1, ""COI"": 1}",0,{},2,2,0,0,0,0,0,0,0
question_4,refactory,mutap,few_shot,deepseek-coder,11,0,0,"assert sort_age([('Tom', 19, 'male'), ('Mary', 20, 'female'), ('John', 20, 'male')]) == [('Mary', 20, 'female'), ('John', 20, 'male'), ('Tom', 19, 'male')]",80.0,"{""AOR"": 2, ""COI"": 1, ""ROR"": 2}",5,1,"{""AOR"": 1}",4,"{""AOR"": 1, ""COI"": 1, ""ROR"": 2}",0,{},14,14,7,0,0,0,11,11,0
question_5,refactory,mutap,few_shot,deepseek-coder,1,0,1,,0.0,{},0,0,{},0,{},0,{},3,2,0,0,0,0,1,0,1
question_1,refactory,after_refining,few_shot,deepseek-coder,1,0,0,"assert search(10, [2, 4, 6]) == 3",66.66666666666666,"{""COI"": 1, ""ROR"": 2}",3,1,"{""ROR"": 1}",2,"{""COI"": 1, ""ROR"": 1}",0,{},4,4,0,0,0,0,1,1,0
question_2,refactory,after_refining,few_shot,deepseek-coder,1,0,0,"assert contains_unique_day('March', [['January', 10], ['February', 5], ['March', 7]]) == True",36.36363636363637,"{""ASR"": 2, ""COI"": 3, ""LCR"": 1, ""ROR"": 5}",11,7,"{""ASR"": 1, ""COI"": 2, ""LCR"": 1, ""ROR"": 3}",4,"{""ASR"": 1, ""COI"": 1, ""ROR"": 2}",0,{},2,2,0,0,0,0,1,1,0
question_3,refactory,after_refining,few_shot,deepseek-coder,1,0,0,"assert remove_extras([1, 2, 3]) == [1, 2, 3]",100.0,"{""COD"": 1, ""COI"": 1}",2,0,{},2,"{""COD"": 1, ""COI"": 1}",0,{},2,2,0,0,0,0,0,0,0
question_4,refactory,after_refining,few_shot,deepseek-coder,1,0,0,"assert sort_age([('Tom', 19, 'male'), ('Mary', 20, 'female'), ('John', 20, 'male')]) == [('Mary', 20, 'female'), ('John', 20, 'male'), ('Tom', 19, 'male')]",80.0,"{""AOR"": 2, ""COI"": 1, ""ROR"": 2}",5,1,"{""AOR"": 1}",4,"{""AOR"": 1, ""COI"": 1, ""ROR"": 2}",0,{},1,1,0,0,0,0,0,0,0
question_5,refactory,after_refining,few_shot,deepseek-coder,1,0,1,,0.0,{},0,0,{},0,{},0,{},2,1,0,0,0,0,1,0,1
question_1,refactory,before_refining,few_shot,deepseek-coder,1,0,1,,0.0,{},0,0,{},0,{},0,{},4,0,0,0,0,0,0,0,0
question_2,refactory,before_refining,few_shot,deepseek-coder,1,1,0,"assert contains_unique_day(""January"", [[""January"", 25], [""February"", 30]]) == True
assert contains_unique_day(""March"", [[""January"", 25], [""February"", 30]]) == False",45.45454545454545,"{""ASR"": 2, ""COI"": 3, ""LCR"": 1, ""ROR"": 5}",11,6,"{""ASR"": 1, ""COI"": 2, ""ROR"": 3}",5,"{""ASR"": 1, ""COI"": 1, ""LCR"": 1, ""ROR"": 2}",0,{},2,0,0,0,0,0,0,0,0
question_3,refactory,before_refining,few_shot,deepseek-coder,1,0,0,"assert remove_extras([1,2,3]) == [1, 2, 3]
assert remove_extras([1,1,1]) == [1]
assert remove_extras([]) == []",100.0,"{""COD"": 1, ""COI"": 1}",2,0,{},2,"{""COD"": 1, ""COI"": 1}",0,{},3,0,0,0,0,0,0,0,0
question_4,refactory,before_refining,few_shot,deepseek-coder,1,0,1,,0.0,{},0,0,{},0,{},0,{},1,0,0,0,0,0,0,0,0
question_5,refactory,before_refining,few_shot,deepseek-coder,1,0,1,,0.0,{},0,0,{},0,{},0,{},3,0,0,0,0,0,0,0,0
