task_id,dataset,method,prompt,llm,run,subrun,problematic_put,final_tests,mutation_score,mutation_types,total_mutants,survived_total,survived_types,killed_total,killed_types,timeout_total,timeout_types,raw_tests_generated,refined_tests,duplicate_tests_removed,syntax_errored,fixed_by_model,fixed_by_ommiting,ibf_assertion_errored,ibf_repaired,ibf_unrepaired
task_0,humaneval,mutap,zero_shot,llama2chat,11,0,0,"assert has_close_elements([1.0, 2.0, 3.0], 1.0) == False
assert has_close_elements([1.0, 2.0, 3.0], 1.5) == True",100.0,"{""AOR"": 1, ""COI"": 2, ""ROR"": 3}",6,0,{},6,"{""AOR"": 1, ""COI"": 2, ""ROR"": 3}",0,{},74,74,30,0,0,0,5,11,0
task_1,humaneval,mutap,zero_shot,llama2chat,1,1,0,assert separate_paren_groups('(()())') == ['(()())'],100.0,"{""ASR"": 2, ""COI"": 3, ""ROR"": 3}",8,0,{},8,"{""ASR"": 2, ""COI"": 3, ""ROR"": 3}",0,{},8,8,0,0,0,0,1,8,0
task_10,humaneval,mutap,zero_shot,llama2chat,11,0,0,assert make_palindrome('leveL') == 'leveLevel',93.33333333333333,"{""AOD"": 2, ""AOR"": 3, ""ASR"": 1, ""COD"": 2, ""COI"": 2, ""ROR"": 1, ""SIR"": 4}",15,1,"{""ASR"": 1}",12,"{""AOD"": 2, ""AOR"": 2, ""COD"": 2, ""COI"": 2, ""ROR"": 1, ""SIR"": 3}",2,"{""AOR"": 1, ""SIR"": 1}",183,183,163,0,0,0,9,26,0
task_100,humaneval,mutap,zero_shot,llama2chat,1,0,0,"assert make_a_pile(3) == [3, 5, 7]",100.0,"{""AOR"": 4}",4,0,{},4,"{""AOR"": 4}",0,{},3,3,0,0,0,0,1,3,0
task_101,humaneval,mutap,zero_shot,llama2chat,1,0,0,assert words_string('a') == ['a'],100.0,"{""COD"": 1, ""COI"": 2, ""ROR"": 1}",4,0,{},4,"{""COD"": 1, ""COI"": 2, ""ROR"": 1}",0,{},4,4,0,0,0,0,0,0,0
task_102,humaneval,mutap,zero_shot,llama2chat,11,0,0,"assert choose_num(5, 7) == 6
assert choose_num(3, 4) == 4
assert choose_num(0, 0) == 0",69.23076923076923,"{""AOD"": 2, ""AOR"": 4, ""COI"": 3, ""ROR"": 4}",13,4,"{""AOD"": 2, ""AOR"": 2}",9,"{""AOR"": 2, ""COI"": 3, ""ROR"": 4}",0,{},98,98,82,0,0,0,11,61,0
task_103,humaneval,mutap,zero_shot,llama2chat,2,0,0,"assert rounded_avg(3, 4) == '0b100'
assert rounded_avg(3, 3) == '0b11'
assert rounded_avg(3, 2) == -1",100.0,"{""AOD"": 1, ""AOR"": 6, ""ASR"": 1, ""COI"": 1, ""ROR"": 2}",11,0,{},11,"{""AOD"": 1, ""AOR"": 6, ""ASR"": 1, ""COI"": 1, ""ROR"": 2}",0,{},18,18,3,0,0,0,2,12,0
task_104,humaneval,mutap,zero_shot,llama2chat,1,0,0,"assert unique_digits('123') == ['1', '3']",100.0,"{""AOR"": 1, ""COI"": 1, ""ROR"": 1}",3,0,{},3,"{""AOR"": 1, ""COI"": 1, ""ROR"": 1}",0,{},6,4,0,0,0,0,1,3,2
task_105,humaneval,mutap,zero_shot,llama2chat,1,0,0,"assert by_length([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == ['Nine', 'Eight', 'Seven', 'Six', 'Five', 'Four', 'Three', 'Two', 'One']",100.0,"{""EHD"": 1}",1,0,{},1,"{""EHD"": 1}",0,{},3,3,0,0,0,0,1,2,0
task_106,humaneval,mutap,zero_shot,llama2chat,1,0,0,"assert f(2) == [1, 2]",100.0,"{""AOR"": 4, ""ASR"": 6, ""COI"": 1, ""ROR"": 1}",12,0,{},10,"{""AOR"": 4, ""ASR"": 4, ""COI"": 1, ""ROR"": 1}",2,"{""ASR"": 2}",3,3,0,0,0,0,1,2,0
